gameId,attendance
22200509,19800
22200504,19530
22200501,21561
22200502,18636
22200503,16351
22200500,19911
22200498,19432
22200499,20190
22200497,19642
22200496,18064
22200494,20441
22200493,19812
22200492,18997
22200490,17071
22200491,17894
22200489,19619
22200486,19600
22200487,16989
22200488,15214
22200481,17028
22200484,19432
22200479,18425
22200480,19996
22200478,18206
22200476,19068
22200475,17611
22200472,15965
22200474,15107
22200468,17226
22200469,19156
22200470,18026
22200471,19294
22200466,19432
22200467,20615
22200465,19605
22200464,17071
22200462,19969
22200463,19812
22200461,15622
22200460,17803
22200456,16627
22200457,18271
22200458,14672
22200454,17809
22200452,19432
22200453,20408
22200451,18153
22200450,19235
22200449,16294
22200447,19488
22200448,19800
22200446,14513
22200445,19156
22200444,17071
22200440,19432
22200441,16217
22200442,17587
22200443,16895
22200439,20160
22200438,15018
22200437,18505
22200436,20191
22200434,19661
22200430,19156
22200431,19432
22200432,20567
22200433,19800
22200428,17772
22200429,17892
22200427,15778
22200426,18206
22200424,16210
22200425,17794
22200423,14063
22200421,20093
22200422,19550
22200420,13657
22200417,19800
22200418,18820
22200415,15069
22200416,16002
22200413,18661
22200412,18206
22200411,15128
22200410,17628
22200409,19768
22200407,18021
22200405,19877
22200406,13434
22200404,16544
22200402,15309
22200403,16090
22200401,16268
22200396,20190
22200397,19812
22200398,16891
22200399,19765
22200395,18681
22200394,18324
22200393,19636
22200392,18064
22200391,19528
22200390,19432
22200388,14280
22200389,18404
22200386,20277
22200385,18206
22200384,16381
22200380,18072
22200381,19432
22200377,17696
22200378,15039
22200379,17008
22200375,13140
22200374,19600
22200373,17071
22200372,18206
22200367,19265
22200368,15942
22200369,17341
22200370,15472
22200371,14073
22200364,16903
22200365,18091
22200366,19800
22200363,14429
22200362,19520
22200361,19600
22200359,18064
22200358,20227
22200356,15331
22200354,16301
22200355,19800
22200352,13945
22200353,16174
22200351,17479
22200346,18043
22200347,20088
22200348,19007
22200349,19647
22200350,17611
22200345,16409
22200344,15658
22200343,18206
22200342,18064
22200340,19800
22200341,17136
22200339,18128
22200338,16587
22200337,18319
22200336,18064
22200334,17071
22200335,18206
22200332,17022
22200327,16974
22200328,19156
22200329,17732
22200330,19432
22200331,17938
22200326,15231
22200325,18106
22200324,18560
22200323,17611
22200320,16286
22200321,17071
22200318,14845
22200319,15605
22200314,19156
22200315,15963
22200316,17277
22200312,19432
22200311,17251
22200310,20277
22200309,14864
22200307,16407
22200305,16027
22200306,18206
22200301,19156
22200302,15704
22200303,19800
22200299,19778
22200300,13515
22200298,17341
22200294,19156
22200295,18240
22200296,19524
22200297,16218
22200293,17268
22200292,16805
22200291,17136
22200290,17732
22200289,17071
22200287,15151
22200288,18354
22200285,16559
22200284,18064
22200283,17071
22200275,19156
22200276,15404
22200277,19600
22200278,16669
22200279,17794
22200280,17447
22200281,16082
22200282,18354
22200274,19812
22200272,17924
22200271,18064
22200270,18206
22200267,17341
22200268,13656
22200269,14947
22200263,18173
22200264,19156
22200265,19600
22200266,19800
22200260,16910
22200261,19432
22200262,15751
22200259,17071
22200258,19635
22200257,16826
22200256,20184
22200255,19068
22200250,20786
22200251,17341
22200252,16583
22200253,18589
22200254,15079
22200248,19432
22200249,14029
22200247,18211
